,0,1
1649,lock,4
1650,woke,6
1651,wouldn't,1
1652,happened,15
1653,slept,15
1654,accord,2
1655,sensibly,1
1656,gently,1
1657,moan,1
1658,pitched,1
1659,forward,5
1660,jet,3
1661,vomit,3
1662,flew,7
1663,spread,6
1664,puddle,2
1665,heavier,2
1666,drooped,2
1667,wisps,1
1668,dabbling,1
1669,tree,11
1670,bog,1
1671,drew,11
1672,half-asleep,1
1673,decision,2
1674,watch,17
1675,deep,12
1676,loyal,1
1677,innocent,3
1678,resembled,2
1679,heart,19
1680,thoughts,5
1681,bring,13
1682,sunless,2
1683,splashed,1
1684,cold,25
1685,put,39
1686,lipstick,2
1687,expected,6
1688,lying,20
1689,pool,1
1690,concrete,3
1691,testimony,1
1692,nature,3
1693,eternally,1
1694,verdant,1
1695,faint,8
1696,irregular,2
1697,stain,1
1698,spilled,2
1699,dabbed,2
1700,arrayed,1
1701,banquet,3
1702,yellow-green,1
1703,avocado,6
1704,pear,6
1705,halves,1
1706,crabmeat,6
1707,mayonnaise,3
1708,platters,1
1709,rare,1
1710,roast,2
1711,beef,1
1712,chicken,6
1713,cut-glass,1
1714,bowl,8
1715,heaped,1
1716,caviar,14
1717,eat,16
1718,cafeteria,3
1719,cup,18
1720,over-stewed,1
1721,coffee,15
1722,bitter,6
1723,nose,12
1724,curl,1
1725,starving,4
1726,eaten,3
1727,restaurant,7
1728,count,4
1729,howard,1
1730,johnson,1
1731,french,8
1732,fries,1
1733,cheeseburgers,1
1734,vanilla,2
1735,frappes,1
1736,i'm,5
1737,food,8
1738,else,32
1739,no,136
1740,exception,1
1741,favourite,4
1742,dishes,4
1743,butter,3
1744,cheese,2
1745,sour,6
1746,cream,3
1747,luncheons,1
1748,various,3
1749,developed,2
1750,habit,5
1751,running,10
1752,huge,7
1753,handwritten,1
1754,menus,1
1755,side-dish,1
1756,peas,2
1757,costs,2
1758,fifty,7
1759,sixty,2
1760,cents,11
1761,richest,1
1762,expense,1
1763,accounts,1
1764,guilty,1
1765,point,16
1766,eating,7
1767,generally,1
1768,chef,1
1769,salad,5
1770,grapefruit,1
1771,juice,4
1772,reduce,2
